Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/anomalies [validate fault vehicle],13,0,4,5.573576538154157,3.818250999756856,12.612942002306227,2.0,0.44849095074160805,0.0,4,5,5,7,9,13,13,13,13,13,13
GET,/fleet/state,13,0,4,4.646019999759469,3.6381409991008695,7.215917998109944,107.07692307692308,0.44849095074160805,0.0,4,5,6,6,6,7,7,7,7,7,7
GET,/fleet/state [validate],73,0,5,7.186724616462613,3.517322998959571,44.248538000829285,107.23287671232876,2.5184491849336452,0.0,5,5,6,6,11,29,36,44,44,44,44
POST,/telemetry [fault],55,0,9,9.758749345201068,7.493926001188811,16.942054997343803,38.0,1.8974617146760342,0.0,9,10,10,11,13,15,17,17,17,17,17
POST,/telemetry [moving],190,0,7,12.491571973709812,5.547782999201445,109.99613300009514,38.0,6.554867741608118,0.0,7,8,10,11,26,38,78,99,110,110,110
GET,/vehicles [validate fault],13,0,4,4.767108230645625,3.8389700021070894,6.824552001489792,164.0,0.44849095074160805,0.0,4,5,5,6,6,7,7,7,7,7,7
,Aggregated,357,0,7,10.166913019562925,3.517322998959571,109.99613300009514,57.94957983193277,12.316251493442621,0.0,7,8,9,10,15,30,45,78,110,110,110
