Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/anomalies [validate],70,0,6,12.715053828755376,3.9980069996090606,107.64640599882114,2.0,2.410358829851747,0.0,6,8,11,12,21,60,100,110,110,110,110
GET,/fleet/state [validate],165,61,6,11.955433121417599,3.3308010024484247,159.4708789998549,106.58181818181818,5.68156009893626,2.100455551727951,6,7,9,10,21,49,72,160,160,160,160
POST,/telemetry [POST],804,0,11,17.36576188682306,5.393186998844612,272.39715500036255,38.0,27.684692845725777,0.0,11,13,16,18,31,49,92,130,270,270,270
GET,/zones/counts [validate],76,0,6,11.109521526553802,3.4246820032421965,149.7808169988275,884.9342105263158,2.616961015267611,0.0,6,8,9,12,19,29,74,150,150,150,150
,Aggregated,1115,61,10,15.846723252081265,3.3308010024484247,272.39715500036255,103.61704035874439,38.393572789781395,2.100455551727951,10,12,14,16,29,49,92,130,220,270,270
