Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/anomalies [validate],308,0,8,17.691540603900414,3.4747499994409736,319.75123300071573,2.0,5.2011090782087726,0.0,8,10,15,17,30,51,130,230,320,320,320
GET,/fleet/state [validate],543,0,3,5.283939987086851,1.6711889984435402,211.7292870025267,108.0,9.16948775801092,0.0,3,4,4,5,6,12,29,35,210,210,210
POST,/telemetry [POST],2574,0,12,19.65537283800556,5.27153700022609,827.5106960027188,38.0,43.46641158217331,0.0,12,14,18,20,32,53,110,160,520,830,830
GET,/zones/counts [validate],257,0,7,17.668118949253987,3.477981998003088,394.52695199724985,901.5797665369649,4.3398864711027745,0.0,7,9,13,16,31,65,140,210,390,390,390
,Aggregated,3682,0,10,17.232973974463356,1.6711889984435402,827.5106960027188,105.58881042911462,62.17689488949578,0.0,10,13,15,18,30,50,110,160,420,830,830
